site	id	date	fernHealth	healthy.fronds	poor.fronds	buds	fingerlings	handSpans	footLongs	full	fiddleheads
adz	1	2019-04-21	dead	0	0	0	0	0	0	0	0
adz	2	2019-04-21	mostly.dead	0	2	0	0	0	0	5	5
adz	3	2019-04-21	mostly.dead	0	0	0	0	0	0	0	0
adz	4	2019-04-21	healthy	6	0	0	0	0	0	5	5
adz	5	2019-04-21	medium.health	6	3	5	0	0	0	0	5
adz	6	2019-04-21	healthy	5	0	0	0	1	3	0	4
adz	7	2019-04-21	medium.health	4	3	0	0	2	0	0	2
adz	8	2019-04-21	healthy	10	3	0	0	0	5	0	5
adz	9	2019-04-21	medium.health	8	0	1	1	3	1	0	6
adz	10	2019-04-21	medium.health	8	0	6	0	0	2	11	19
adz	11	2019-04-21	healthy	9	1	0	0	0	4	0	4
adz	12	2019-04-21	healthy	6	2	0	3	0	0	0	3
gzn	1	2019-04-21	medium.health	8	0	0	2	0	0	5	7
gzn	2	2019-04-21	medium.health	12	0	0	2	2	3	3	10
gzn	3	2019-04-21	low.health	3	2	1	0	0	0	0	1
gzn	4	2019-04-21	healthy(4fr)	3	2	0	0	0	2	0	2
gzn	5	2019-04-21	healthy(12)	10	0	0	0	3	0	12	15
gzn	6	2019-04-21	healthy(8)	9	1	0	0	0	7	0	7
gzn	7	2019-04-21	healthy(6)	6	0	0	0	0	4	0	4
gzn	8	2019-04-21	healthy(6)	7	1	0	0	0	7	0	7
gzn	9	2019-04-21	healthy(9)	10	0	0	0	7	0	0	7
gzn	10	2019-04-21	healhty(8)	4	0	0	0	7	0	0	7
gzn	11	2019-04-21	healthy(8)	10	1	0	0	1	4	0	5
gzn	12	2019-04-21	healthy(8)	9	0	0	5	0	0	0	5
gzs	1	2019-04-21	medium.healthy	8	0	0	0	3	1	8	12
gzs	2	2019-04-21	medium.healthy	7	0	0	2	0	0	9	11
gzs	3	2019-04-21	healthy	8	0	0	0	0	0	6	6
gzs	4	2019-04-21	healthy	4	0	0	0	0	0	3	3
gzs	5	2019-04-21	medium.healthy	9	0	0	0	0	1	8	9
gzs	6	2019-04-21	healthy	6	0	0	0	0	5	0	5
gzs	7	2019-04-21	healthy	4	1	0	0	0	0	6	6
gzs	8	2019-04-21	healthy	6	0	0	0	0	0	6	6
gzs	9	2019-04-21	healthy	11	1	0	2	0	2	3	7
gzs	10	2019-04-21	poor.health	8	1	0	5	1	5	0	11
gzs	11	2019-04-21	healthy	7	2	0	0	0	5	0	5
gzs	12	2019-04-21	healthy	6	0	0	0	0	0	2	2
